연관 검색어,PC 월간 검색수,PC 월평균 클릭수,PC 월평균 클릭률,모바일 월간 검색수,모바일 월평균 클릭수,모바일 월평균 클릭율,월평균 노출 광고수,경쟁 정도
북유럽스타일인테리어,20,0.1,0.52,50,1.8,3.25,15,높음
IOT인테리어,40,1.0,2.36,60,0.7,1.29,9,중간
3D대행,< 10,0.1,1.67,< 10,0.3,11.12,15,높음
설계알바,30,1.1,3.91,50,0.0,0.0,15,높음
디자인제품,120,1.1,0.89,90,0.7,0.75,15,높음
목업샘플,60,0.5,0.72,20,0.0,0.0,15,높음
목업집,20,0.3,1.78,10,0.0,0.0,15,높음
공간디자인회사,30,0.2,0.71,40,0.0,0.0,15,높음
3D지형도,20,0.0,0.0,10,0.0,0.0,3,높음
3D모델하우스,20,0.9,3.62,< 10,0.0,0.0,15,높음
도면프리랜서,10,0.7,6.07,10,0.0,0.0,3,높음
캐드제작,10,0.3,2.78,< 10,0.0,0.0,3,높음
캐드프리랜서,30,1.5,3.73,80,0.0,0.0,10,중간
케이스가공,10,1.4,9.88,< 10,0.3,4.17,12,중간
케이스설계,< 10,0.0,0.0,< 10,0.3,33.34,3,높음
플라스틱금형제작,20,1.0,4.56,10,0.0,0.0,15,높음
플라스틱샘플제작,< 10,0.3,4.77,< 10,0.0,0.0,3,높음
플라스틱설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
플라스틱소량제작,< 10,0.3,8.34,< 10,0.0,0.0,3,높음
플라스틱시제품,10,0.6,6.0,< 10,0.0,0.0,15,높음
플라스틱진공성형,100,8.0,7.48,110,10.7,10.07,15,높음
모델링설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
목업회사,< 10,0.0,0.0,10,0.3,2.28,15,높음
부천목업,< 10,0.0,0.0,< 10,0.0,0.0,14,높음
부품설계,20,0.0,0.0,10,0.0,0.0,3,높음
사출케이스,100,1.3,1.25,60,0.7,1.0,15,높음
샘플제작업체,< 10,1.0,11.12,< 10,0.0,0.0,15,높음
서스가공,30,0.7,1.91,40,0.0,0.0,15,높음
시제작,50,0.0,0.0,20,0.0,0.0,14,높음
시제품만들기,10,0.2,2.02,< 10,0.0,0.0,15,높음
시제품목업,20,0.7,3.5,< 10,0.0,0.0,15,높음
시제품업체,< 10,0.2,5.0,< 10,0.0,0.0,15,높음
아이디어사업화,10,0.0,0.0,10,0.0,0.0,3,높음
알루미늄금형,80,2.1,2.49,70,3.0,4.17,15,높음
완구제작,10,0.1,1.34,10,0.7,5.13,15,높음
외주설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
의료기기제작,20,0.4,1.54,20,0.3,1.59,15,높음
인천3D프린팅,10,0.5,3.89,< 10,0.0,0.0,15,높음
전자제품설계,< 10,0.1,1.12,< 10,0.0,0.0,15,높음
제품개발업체,< 10,1.0,11.12,< 10,0.0,0.0,15,높음
제품개발회사,< 10,0.3,4.77,< 10,0.0,0.0,15,높음
제품제작의뢰,10,0.3,4.17,10,0.0,0.0,3,높음
지그설계,110,0.6,0.52,70,0.0,0.0,15,높음
2D도면작성,50,0.0,0.0,50,0.0,0.0,3,높음
3D도면설계,< 10,0.2,2.39,10,0.3,2.78,5,중간
3D도면의뢰,< 10,1.0,33.34,< 10,0.0,0.0,3,높음
3D모델링설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
캐드도면의뢰,10,1.3,12.13,< 10,0.0,0.0,3,높음
캐드도면작업,< 10,0.0,0.0,< 10,0.3,4.77,3,높음
3D샘플제작,10,1.1,7.09,10,0.0,0.0,15,높음
3D설계도,20,0.0,0.0,20,0.0,0.0,3,높음
3D프린터부품,320,2.5,0.83,190,6.0,3.16,15,높음
3D프린터제품제작,< 10,0.1,1.67,< 10,0.0,0.0,15,높음
3D형상모델링,20,0.0,0.0,40,0.0,0.0,3,높음
가공업체,130,4.3,3.17,70,1.7,2.49,15,높음
가공집,30,0.9,2.84,20,0.0,0.0,6,중간
가전제품개발,< 10,0.3,8.34,10,0.0,0.0,3,높음
개발,8990,1.5,0.02,13500,0.3,0.01,15,높음
금속가공업체,40,2.4,5.86,20,0.3,1.29,15,높음
기계제작업체,10,1.0,5.89,< 10,0.0,0.0,15,높음
기구물설계,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
기구설계비용,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
기구설계프리랜서,10,0.7,6.07,10,0.3,2.23,3,높음
기발한아이디어상품,1150,13.1,1.18,1970,61.9,3.34,15,높음
도면그리기,3010,4.0,0.14,2210,0.3,0.02,15,높음
도면제작업체,< 10,0.1,1.91,< 10,0.0,0.0,15,높음
입면도,3240,0.0,0.0,2740,0.7,0.03,3,높음
도면아르바이트,10,0.1,0.79,10,0.0,0.0,12,중간
오피스컨설팅,10,0.5,3.34,< 10,0.0,0.0,15,높음
QDM금형,150,3.7,2.55,70,0.0,0.0,15,높음
알루미늄다이캐스팅,430,6.6,1.54,310,2.0,0.67,15,높음
사무실디자인업체,< 10,0.1,1.51,< 10,0.0,0.0,15,높음
웨어러블디자인,10,0.0,0.0,10,0.0,0.0,3,높음
인테리어설계외주,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
지그제작업체,20,1.9,8.12,< 10,0.0,0.0,15,높음
UX디자인에이전시,< 10,0.3,16.67,< 10,0.0,0.0,3,높음
한국디자인회사,10,0.0,0.0,10,0.0,0.0,3,높음
종합디자인전문회사,10,0.0,0.0,< 10,0.0,0.0,3,높음
캐드대행,20,0.5,2.68,10,2.0,14.29,15,높음
기계설계회사,30,1.1,2.97,40,0.0,0.0,15,높음
함체제작,40,3.5,7.23,10,1.0,8.34,15,높음
알루미늄케이스제작,90,3.9,4.21,100,7.1,7.15,15,높음
CAD작업,20,0.4,1.5,10,0.3,3.71,14,높음
3D도면제작,40,1.3,3.02,20,2.3,8.65,15,높음
모델링업체,< 10,0.1,3.34,< 10,0.0,0.0,15,높음
설계외주,10,0.1,0.89,10,0.0,0.0,15,높음
설계사무실,80,1.1,1.34,90,0.8,0.83,15,높음
식당설계,< 10,0.3,4.17,20,1.3,6.35,3,높음
매장디자인,40,0.0,0.0,30,0.3,0.93,15,높음
오브제제작,20,2.0,7.7,30,0.7,2.5,3,높음
도면,5060,3.9,0.08,3650,4.7,0.14,15,높음
도면업체,10,0.3,3.04,10,2.0,18.19,15,높음
고무사출,110,1.6,1.46,110,2.3,2.15,15,높음
3D샘플,10,0.7,5.13,< 10,0.0,0.0,3,높음
제품제작업체,20,1.3,7.02,< 10,0.7,13.34,15,높음
서울조감도,20,0.0,0.0,70,0.0,0.0,3,높음
도면작업,60,0.1,0.11,40,1.0,2.33,15,높음
도면외주,20,0.8,3.29,10,0.0,0.0,15,높음
사무환경컨설팅,10,0.8,6.82,< 10,0.0,0.0,7,중간
캐드알바,250,4.6,1.87,420,18.3,4.68,15,높음
인테리어설계회사,10,0.3,2.39,10,0.0,0.0,15,높음
소형주택평면도,30,0.0,0.0,50,1.3,2.57,3,높음
캐드의뢰,< 10,0.0,0.0,10,1.0,6.25,15,높음
알루미늄판가공,60,0.9,1.4,50,0.7,1.26,15,높음
강동테크,20,4.8,20.0,20,0.6,2.18,2,중간
프라스틱기어,10,1.9,12.5,10,1.0,5.89,11,중간
QDM업체,< 10,0.3,8.34,< 10,0.0,0.0,3,높음
3차원측정의뢰,< 10,0.4,5.0,< 10,0.0,0.0,8,중간
3D프린터제품,40,0.4,0.91,50,1.0,1.76,15,높음
리모콘제작,< 10,0.3,5.56,10,0.0,0.0,3,높음
전기차충전기제조,60,1.3,2.23,60,0.3,0.54,3,높음
의료기기사출,< 10,2.0,22.23,< 10,0.0,0.0,3,높음
의료기기개발,40,0.1,0.17,30,0.0,0.0,15,높음
오링조립기,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
시금형제작,10,1.0,6.25,< 10,0.0,0.0,3,높음
스틸가공,30,1.5,4.3,30,2.7,7.85,15,높음
방열판가공,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
회로설계업체,< 10,1.7,27.78,< 10,0.0,0.0,3,높음
플라스틱제품제조,10,0.4,2.23,30,0.0,0.0,15,높음
전기차충전기제작,10,0.0,0.0,20,0.0,0.0,3,높음
광주3D프린터,40,0.3,0.82,70,1.3,2.03,15,높음
광주금속가공,< 10,0.0,0.0,10,0.0,0.0,3,높음
금속제조,20,0.1,0.52,20,2.7,11.6,15,높음
기계가공업체,10,0.2,1.34,10,1.0,9.1,15,높음
기계설계외주,< 10,0.4,40.0,< 10,0.7,11.12,10,중간
기계설계프리랜서,30,0.9,2.86,30,0.0,0.0,8,중간
가방디자인,150,1.0,0.68,460,10.9,2.51,15,높음
TV디자인,10,0.0,0.0,20,0.0,0.0,3,높음
POS디자인,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
전기자동차디자인,20,0.0,0.0,40,0.0,0.0,2,중간
도어락디자인,10,0.0,0.0,10,0.7,7.41,3,높음
카페도면,240,1.2,0.53,160,0.0,0.0,15,높음
3D모델링,3150,6.7,0.22,2980,22.0,0.78,15,높음
피부관리화장품,20,0.4,1.49,120,3.5,3.1,15,높음
디지털트윈,4070,7.1,0.18,2410,1.7,0.08,15,높음
MSCSOFTWARE,60,5.3,8.34,< 10,0.0,0.0,2,낮음
3DMAX과외,10,0.7,3.93,40,2.0,5.13,6,중간
안면스팀기,10,0.0,0.0,140,0.0,0.0,3,높음
얼굴스티머,< 10,0.0,0.0,40,0.0,0.0,3,높음
3D프로그램,1610,3.7,0.24,1330,1.8,0.14,15,높음
스크래치,47300,28.9,0.07,26000,2.3,0.01,15,높음
라이노인강,20,1.1,4.11,30,3.4,9.53,15,높음
소프트웨어,23500,15.6,0.07,18700,42.5,0.24,15,높음
스티머,1910,1.1,0.06,2940,23.0,0.84,15,높음
석고팩,370,4.2,1.16,3520,82.0,2.51,15,높음
그린컴퓨터아카데미학원,10,0.0,0.0,10,0.0,0.0,2,중간
3D도면그리기,90,1.0,1.2,60,0.0,0.0,2,중간
3D강좌,10,0.2,2.15,< 10,0.3,5.56,14,높음
3D과외,10,0.7,5.56,10,0.7,5.56,3,높음
스케치업인강,100,4.5,4.66,120,8.9,7.77,15,높음
SW,2520,0.7,0.03,3480,0.0,0.0,15,높음
판넬디자인,90,1.1,1.19,60,0.3,0.6,15,높음
3D프로그램추천,30,0.0,0.0,10,0.0,0.0,8,중간
키샷,1710,13.2,0.8,880,14.0,1.65,15,높음
국비지원,16500,45.7,0.29,28400,207.8,0.78,15,높음
3D영상제작,280,8.2,2.93,100,3.0,2.95,15,높음
전산유체역학,200,0.2,0.11,100,0.0,0.0,15,높음
구조계산,290,4.0,1.37,110,3.5,3.11,15,높음
구조검토,320,5.6,1.73,130,4.0,3.18,15,높음
출력,2960,26.1,0.92,8290,50.8,0.65,15,높음
목업제작,2260,6.9,0.33,90,4.4,4.71,15,높음
가구디자이너,960,1.7,0.19,1770,17.7,1.05,15,높음
피부관리실화장품,120,3.8,3.15,730,53.4,7.86,15,높음
코딩교육,1970,9.2,0.49,2380,24.8,1.09,15,높음
3D영상,330,3.9,1.24,430,9.3,2.28,15,높음
웹디자인,5850,25.3,0.45,9150,110.0,1.27,15,높음
에스테틱화장품,390,10.1,2.64,1710,89.4,5.63,15,높음
전자상거래학원,10,1.6,8.85,10,0.4,3.34,6,중간
CAE,1700,2.0,0.13,1170,0.7,0.06,15,높음
SW아카데미,140,0.1,0.05,90,0.0,0.0,15,높음
ANSYSKOREA,100,5.6,5.16,20,0.0,0.0,4,낮음
3D시뮬레이션,110,0.9,0.77,70,1.3,1.91,15,높음
건축도면그리기,110,0.3,0.31,90,0.0,0.0,3,높음
지니블록,80,1.7,2.17,40,0.0,0.0,5,중간
휴대폰목업,170,1.3,0.8,180,7.7,4.29,15,높음
구조해석프로그램,110,0.9,0.89,40,0.7,1.52,15,높음
라이노강의,100,1.3,1.28,70,1.7,2.35,15,높음
지브러시학원,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
전산응용토목제도기능사학원,10,0.5,4.48,10,0.0,0.0,6,중간
친환경박스,560,22.7,4.07,460,38.2,8.71,15,높음
모형제작,510,12.4,2.44,430,13.8,3.37,15,높음
키샷강의,20,1.3,5.56,< 10,0.7,8.34,5,중간
영상편집,11300,37.6,0.36,9940,123.5,1.33,15,높음
그린아카데미학원,< 10,1.7,42.86,10,0.0,0.0,2,중간
SW개발자,310,0.4,0.14,310,0.0,0.0,15,높음
그린아카데미컴퓨터학원,10,0.0,0.0,< 10,0.0,0.0,2,중간
3D홍보영상,50,0.7,1.44,< 10,0.0,0.0,15,높음
3D캐드자격증,30,0.1,0.18,80,0.0,0.0,15,높음
AI교육,1440,5.4,0.39,1480,3.7,0.27,15,높음
건축CG,150,2.9,1.9,120,2.3,2.0,15,높음
3D건축,130,0.7,0.62,150,0.0,0.0,15,높음
FEM,770,0.4,0.06,640,0.7,0.11,14,높음
TARGETLINK,< 10,0.0,0.0,< 10,0.0,0.0,1,중간
자동차디자인,370,0.7,0.2,820,4.0,0.51,15,높음
안드로이드과정,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
큰선물상자,140,3.3,2.36,860,25.7,3.15,15,높음
피부과모델링팩,130,1.7,1.26,1140,32.1,3.08,15,높음
3D설계,370,1.4,0.38,260,2.3,0.95,15,높음
GITHUB,9500,4.9,0.06,4280,0.0,0.0,10,중간
초음파젤,500,3.6,0.73,2190,73.1,3.52,15,높음
라이노독학,40,0.3,0.74,50,0.3,0.67,15,높음
화장품디자인,230,10.1,4.42,160,10.9,6.68,15,높음
컴퓨터인강,260,8.0,3.15,450,9.8,2.28,15,높음
SIMULATOR,460,0.0,0.0,800,0.0,0.0,3,높음
SIL,370,0.7,0.21,820,0.3,0.05,15,높음
SOFTWAREINTHELOOP,10,0.0,0.0,< 10,0.0,0.0,1,중간
MOS자격증,6150,16.4,0.28,9160,11.3,0.14,15,높음
피부관리재료,20,1.3,7.04,220,30.5,14.0,15,높음
시제품,3080,2.9,0.1,2560,0.7,0.03,15,높음
3D수업,10,0.0,0.0,10,0.0,0.0,12,중간
케드강의,< 10,0.0,0.0,< 10,0.0,0.0,14,높음
기계CAD실무,< 10,0.0,0.0,10,0.0,0.0,2,중간
3D프린터출력,460,15.4,3.41,470,31.2,7.1,15,높음
피부관리실제품,30,1.5,5.12,260,14.9,6.2,15,높음
KTAI,210,0.8,0.41,470,0.7,0.16,7,중간
3차원스캐너,60,1.4,2.23,40,0.9,1.88,15,높음
스케치업책,180,1.1,0.62,310,0.3,0.11,10,중간
키샷책,< 10,0.0,0.0,10,0.0,0.0,2,중간
엠에스씨소프트웨어,< 10,0.7,9.1,< 10,0.0,0.0,3,높음
V-CYCLE,10,0.0,0.0,< 10,0.0,0.0,0,낮음
알루미늄판넬,610,15.1,2.54,720,30.7,4.49,15,높음
자격증인강,220,5.7,2.65,330,22.6,6.97,15,높음
대시보드,2790,3.7,0.14,3750,0.3,0.01,15,높음
프리미어프로인강,70,2.3,3.07,50,5.2,10.74,15,높음
3D동영상,80,2.1,2.46,60,0.7,1.13,15,높음
소프트웨어아카데미,60,0.5,0.84,50,0.0,0.0,15,높음
티백포장지,30,2.8,7.9,110,12.7,11.63,14,높음
3D프린터업체,230,6.2,2.69,230,19.7,9.0,15,높음
제품스티커,140,6.1,4.32,120,5.7,4.85,15,높음
라이노강좌,70,0.5,0.77,40,1.7,3.97,15,높음
부산3D영상제작,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
3D의뢰,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
전자상거래운용사,440,0.6,0.15,400,0.3,0.09,15,높음
의류패키지,30,0.7,2.11,30,3.0,8.11,14,높음
피부관리제품,30,0.5,1.62,120,15.2,13.43,15,높음
AGILE교육,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
SW개발,290,0.2,0.08,290,0.0,0.0,15,높음
컴퓨터활용능력2급,19700,26.1,0.14,36200,226.8,0.66,15,높음
컴퓨터활용능력,33200,25.7,0.09,22000,94.3,0.46,15,높음
박스프린트,50,2.1,4.06,30,3.7,11.12,15,높음
3D프린터제작,320,7.1,2.23,400,43.2,11.2,15,높음
배관설계,160,1.0,0.63,160,0.7,0.44,15,높음
스케치업,29000,15.1,0.06,10800,57.8,0.57,15,높음
스케치업인터넷강의,10,0.9,6.71,< 10,0.0,0.0,15,높음
제품디자인기사,330,0.3,0.11,490,3.5,0.76,15,높음
3D모델링책,10,0.8,4.66,30,0.9,2.54,3,높음
3D모델링강의,10,0.1,1.03,10,0.3,2.57,15,높음
웹,3230,0.9,0.03,6720,5.5,0.09,15,높음
소량패키지,30,3.6,10.28,20,3.2,15.88,14,높음
소프트웨어개발,770,7.9,1.04,590,8.7,1.57,15,높음
주얼리상자,50,1.4,2.65,120,8.0,7.08,15,높음
내일배움카드,131200,78.0,0.07,294000,721.1,0.26,15,높음
유체시뮬레이션,20,0.0,0.0,30,0.7,1.81,14,높음
3D도면,920,4.2,0.48,870,16.3,1.96,15,높음
하우징,3890,18.3,0.48,7310,49.7,0.72,15,높음
박스도안,100,0.9,0.88,70,0.8,1.08,15,높음
코딩교구,210,3.5,1.7,440,13.8,3.21,15,높음
3D프린터출력대행,250,6.7,2.7,180,17.7,10.28,15,높음
몰드,2840,6.0,0.22,5730,99.0,1.84,15,높음
코딩인강,760,12.3,1.68,940,49.4,5.59,15,높음
3D출력,160,4.8,3.0,130,16.8,12.64,15,높음
병원화장품,120,3.4,2.96,340,10.1,3.26,15,높음
유동해석프로그램,20,0.2,1.11,10,0.0,0.0,14,높음
지그제작,310,12.5,3.99,190,11.9,6.37,15,높음
샘플박스,100,2.3,2.17,50,0.5,0.97,15,높음
디자인포트폴리오,2020,6.1,0.32,2130,22.8,1.12,15,높음
인터넷강의,2020,9.3,0.49,2630,31.9,1.29,15,높음
피부과재생크림,560,2.1,0.39,6100,103.1,1.81,15,높음
FEA,400,0.8,0.21,340,0.5,0.16,11,중간
피부샵화장품,20,0.2,1.0,200,14.8,8.04,15,높음
코코아팹스쿨,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
케이스꾸미기,70,0.3,0.39,540,1.3,0.25,15,높음
3D랜더링,220,1.0,0.47,190,2.0,1.07,15,높음
웹디자인인강,70,5.1,7.24,130,8.8,6.95,15,높음
부산3D,20,0.5,1.95,30,0.0,0.0,15,높음
성형해석,60,0.1,0.22,20,0.3,1.24,14,높음
캔디자인,100,1.9,1.93,250,2.0,0.82,15,높음
고급포장박스,40,1.8,4.19,60,4.3,6.88,15,높음
식품디자인,40,0.7,1.59,40,3.3,7.58,15,높음
온라인강좌,260,2.5,0.96,220,6.0,2.92,15,높음
미디어아트학원,10,0.5,4.55,10,0.0,0.0,2,중간
CG영상제작,10,1.4,10.0,< 10,0.0,0.0,15,높음
3D회사,30,0.1,0.36,60,0.0,0.0,15,높음
제품홍보동영상,10,0.7,7.34,< 10,0.0,0.0,15,높음
건축그래픽,10,0.1,0.84,10,0.0,0.0,15,높음
국가지원포토샵,< 10,0.0,0.0,< 10,0.0,0.0,0,낮음
능력개발,170,0.0,0.0,140,0.0,0.0,3,높음
직장인컴퓨터교육,< 10,0.0,0.0,10,0.3,3.34,0,낮음
산업디자인자격증,70,0.3,0.42,150,0.0,0.0,10,중간
쇼핑몰창업과정,10,0.0,0.0,30,0.0,0.0,15,높음
고용보험학원,20,0.1,0.35,40,0.0,0.0,15,높음
재직자교육과정,30,0.3,0.89,10,0.0,0.0,15,높음
전시영상,30,0.3,0.75,10,0.0,0.0,15,높음
3D시뮬레이션제작,< 10,0.4,4.0,< 10,0.0,0.0,14,높음
실업자훈련,20,0.1,0.24,20,0.0,0.0,15,높음
도색,1770,2.7,0.16,4080,5.8,0.15,15,높음
금형목업,< 10,0.3,3.71,< 10,0.0,0.0,3,높음
제품홍보동영상제작,< 10,0.1,2.23,< 10,1.0,20.0,15,높음
모델링데이터,< 10,0.6,6.25,< 10,0.0,0.0,2,중간
3D프린팅전문가,280,0.3,0.13,240,0.0,0.0,15,높음
용접해석,< 10,1.0,20.0,< 10,0.0,0.0,3,높음
컬러리스트기사실기학원,10,0.3,2.59,10,0.0,0.0,14,높음
디자인소품,210,4.9,2.39,470,18.0,4.22,15,높음
시뮬레이션제작,10,0.5,3.89,10,0.0,0.0,15,높음
IT교육국비지원,< 10,0.1,0.84,< 10,0.0,0.0,15,높음
안드로이드앱개발강의,< 10,0.2,6.67,< 10,0.0,0.0,15,높음
RHINO,2710,0.5,0.02,5090,1.3,0.03,10,중간
RHINO3D,500,0.4,0.09,110,0.0,0.0,15,높음
라이노학원,110,2.3,1.93,210,13.0,6.56,15,높음
정보처리기능사실기학원,10,0.4,3.34,20,1.0,4.55,15,높음
정보처리자격증,150,0.1,0.05,140,0.0,0.0,15,높음
멀티미디어콘텐츠제작전문가자격증,40,0.0,0.0,20,0.7,2.67,3,높음
샘플,4260,1.3,0.04,7210,7.0,0.11,15,높음
건축설계도면,550,4.0,0.74,1110,1.7,0.16,15,높음
탱크디자인,< 10,0.5,16.67,< 10,0.0,0.0,2,중간
게임그래픽전문가자격증,50,0.1,0.12,20,0.3,1.39,15,높음
2D게임그래픽,10,0.0,0.0,< 10,0.0,0.0,13,중간
쇼핑몰자격증,30,0.0,0.0,90,0.0,0.0,15,높음
스마트팜교육,1010,14.9,1.52,2090,61.6,3.1,15,높음
서울게임그래픽학원,< 10,0.0,0.0,< 10,0.0,0.0,15,높음
적층가공,100,0.3,0.27,70,0.0,0.0,8,중간
라이노7,1130,0.0,0.0,390,1.0,0.27,3,높음
정보처리기능사필기기출문제,70,0.0,0.0,50,0.0,0.0,3,높음
컴퓨터실무,20,0.2,0.77,80,0.0,0.0,15,높음
PS,9060,1.0,0.02,17200,6.3,0.04,15,높음
모델링알바,20,0.4,2.03,20,0.0,0.0,15,높음
잔여수명예측,< 10,0.7,14.29,10,0.8,5.89,1,중간
PSEVEN,< 10,1.2,40.0,< 10,0.0,0.0,2,중간
제품디자인모델링,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
제품디자인기능사,20,0.0,0.0,10,0.0,0.0,3,높음
산업디자인포트폴리오,20,0.1,0.29,30,0.0,0.0,15,높음
가상검증,< 10,0.0,0.0,< 10,0.0,0.0,2,중간
CG알바,< 10,0.0,0.0,< 10,0.0,0.0,3,높음
3D시물레이션,< 10,0.1,5.56,< 10,0.3,3.13,9,중간
3D아르바이트,< 10,0.3,5.64,< 10,0.0,0.0,14,높음
국비디자인,< 10,0.4,5.72,30,2.3,7.78,15,높음
게임3D모델링,30,0.0,0.0,10,0.0,0.0,3,낮음
게임캐릭터모델링,10,0.2,1.1,< 10,0.0,0.0,13,중간
인테리어관련자격증,80,0.2,0.23,160,0.3,0.21,12,중간
광고편집,70,0.3,0.4,80,0.0,0.0,15,높음
컴퓨터그래픽디자인,90,0.1,0.15,70,0.7,1.03,15,높음
캐드수강료,10,0.5,4.67,10,0.0,0.0,15,높음
컨설팅,6730,17.7,0.28,11600,47.8,0.44,15,높음
캐드학원비용,90,0.7,0.8,370,6.5,1.81,15,높음
2D그래픽,190,0.4,0.22,110,0.0,0.0,15,높음
3DCAD학원,< 10,0.2,10.0,< 10,0.0,0.0,15,높음
디자인외주,630,15.2,2.48,690,31.3,4.7,15,높음
강도계산,40,0.5,1.1,10,0.0,0.0,15,높음
근로자국비지원,90,0.3,0.36,120,0.3,0.29,15,높음
정보처리기사자격증,940,0.8,0.09,1040,0.7,0.07,15,높음
국비지원주말,10,0.4,3.78,30,0.0,0.0,5,중간
SWACADEMY,40,0.0,0.0,10,0.0,0.0,3,높음
소프트웨어개발방법론,90,0.0,0.0,60,0.0,0.0,3,높음
소프트웨어개발교육,10,0.3,2.67,< 10,0.0,0.0,15,높음
소프트웨어강의,10,0.1,0.48,< 10,0.7,7.41,15,높음
모델링교육,10,0.6,5.46,< 10,0.0,0.0,15,높음
TDD,560,0.0,0.0,630,1.3,0.23,3,높음
SW강사,30,0.0,0.0,140,0.0,0.0,3,높음
ASW,170,0.0,0.0,330,1.0,0.32,3,높음
코딩플랫폼,10,0.0,0.0,10,0.0,0.0,3,높음
3D영상업체,10,0.3,2.43,< 10,0.3,8.34,15,높음
3D프린터금형,20,0.3,1.2,20,0.0,0.0,3,높음
전시제품,90,1.7,1.95,190,16.2,9.03,15,높음
인테리어디자인설계,10,0.3,1.67,10,0.0,0.0,15,높음
3D알바,30,1.0,3.34,30,0.3,1.08,15,높음
정보통신기사학원,40,0.9,2.18,30,2.0,5.72,15,높음
3D배경그래픽,10,0.3,2.78,10,0.0,0.0,3,낮음
SUBSTANCEDESIGNER,80,0.3,0.41,10,0.0,0.0,3,높음
CSTSTUDIO,30,2.4,6.56,20,0.5,2.5,2,중간
3D프린터설계제작,10,1.7,9.26,20,0.0,0.0,3,높음
라이노3D,1690,1.9,0.12,850,3.7,0.45,15,높음
그래픽프로그램,2460,0.0,0.0,300,0.0,0.0,13,중간
멀티미디어콘텐츠제작전문가실기,370,0.5,0.15,240,0.3,0.15,13,중간
제품디자인포트폴리오,80,1.1,1.34,50,1.0,2.13,15,높음
제품디자인산업기사실기,30,0.0,0.0,20,0.0,0.0,3,높음
국비지원주말반,< 10,0.4,5.56,20,1.3,5.56,11,중간
게임그래픽디자인,50,0.2,0.35,60,0.0,0.0,15,높음
3D게임그래픽,20,0.1,0.27,10,0.0,0.0,15,높음
석고,2200,6.9,0.33,5190,49.3,1.01,15,높음
이온토앰플,10,0.0,0.0,50,0.7,1.45,3,높음
핫팩유니트,60,0.5,0.71,60,0.7,1.1,15,높음
.NET교육,< 10,0.0,0.0,< 10,0.0,0.0,3,낮음
캐드내일배움카드,< 10,0.2,2.73,10,0.0,0.0,14,높음
컴퓨터학원비용,70,0.3,0.39,560,11.8,2.16,15,높음
자바교육과정,< 10,0.1,2.23,< 10,0.7,13.34,15,높음
국비과정,50,0.1,0.12,90,0.3,0.39,15,높음
IT자격증학원,10,0.2,1.25,10,0.7,6.67,15,높음
외주업체,440,1.6,0.38,430,4.0,0.99,15,높음
게임그래픽강의,< 10,0.1,2.23,< 10,0.0,0.0,15,높음
절삭가공,790,3.1,0.41,430,3.5,0.86,15,높음
게임그래픽,330,0.6,0.19,310,3.7,1.24,15,높음
산업기사시험일정,4480,0.8,0.02,11900,0.0,0.0,14,높음
주조해석,< 10,0.0,0.0,< 10,0.0,0.0,7,중간
라이노인터넷강의,< 10,1.0,16.05,< 10,0.0,0.0,14,높음
CAD,9440,25.1,0.28,8890,43.5,0.52,15,높음
CNC가공,2450,20.1,0.85,4130,52.8,1.35,15,높음
소형로봇,20,0.6,2.62,30,0.5,2.0,15,높음
시제품제작업체,1380,2.5,0.2,70,5.0,6.95,15,높음
제조업,3110,5.1,0.17,3630,4.3,0.13,15,높음
로봇제작,90,2.9,3.16,250,1.3,0.51,15,높음
사출금형,1540,18.3,1.23,1270,12.8,1.06,15,높음
드론자격증국비,1050,25.1,2.48,3460,127.2,3.99,10,중간
평택직업학교,10,0.3,2.03,30,0.0,0.0,9,중간
발명품아이디어,1580,1.1,0.08,6780,0.3,0.01,15,높음
임가공,2490,1.8,0.08,2000,0.7,0.04,15,높음
전산응용기계제도기능사,4510,6.9,0.16,6200,30.0,0.51,15,높음
지능형로봇,490,0.4,0.09,620,0.3,0.06,15,높음
자동세차기,200,9.6,4.71,540,40.6,8.2,15,높음
사출,4360,9.8,0.24,7380,49.3,0.71,15,높음
기계설계산업기사,4420,10.6,0.25,6110,32.3,0.55,15,높음
시제품설계,< 10,0.3,3.71,10,0.3,2.09,15,높음
지게차운전기능사,7090,17.5,0.26,18800,218.3,1.21,15,높음
기계부품제작,< 10,0.1,1.79,< 10,0.0,0.0,14,높음
CNC교육,70,2.0,2.78,60,3.3,5.47,15,높음
